State,Abbreviation,Capital
(Alabama,al,Montgomery)
(Alaska,ak,Juneau)
(Arizona,az,Phoenix)
(Arkansas,ar,Little Rock)
(California,ca,Sacramento)
(Colorado,co,Denver)
(Connecticut,ct,Hartford)
(Delaware,de,Dover)
(Florida,fl,Tallahassee)
(Georgia,ga,Atlanta)
(Hawaii,hi,Honolulu)
(Idaho,id,Boise)
(Illinois,il,Springfield)
(Indiana,in,Indianapolis)
(Iowa,ia,Des Moines)
(Kansas,ks,Topeka)
(Kentucky,ky,Frankfort)
(Louisiana,la,Baton Rouge)
(Maine,me,Augusta)
(Maryland,md,Annapolis)
(Massachusetts,ma,Boston)
(Michigan,mi,Lansing)
(Minnesota,mn,St. Paul)
(Mississippi,ms,Jackson)
(Missouri,mo,Jefferson City)
(Montana,mt,Helena)
(Nebraska,ne,Lincoln)
(Nevada,nv,Carson City)
(New Hampshire,nh,Concord)
(New Jersey,nj,Trenton)
(New Mexico,nm,Santa Fe)
(New York,ny,Albany)
(North Carolina,nc,Raleigh)
(North Dakota,nd,Bismarck)
(Ohio,oh,Columbus)
(Oklahoma,ok,Oklahoma City)
(Oregon,or,Salem)
(Pennsylvania,pa,Harrisburg)
(Rhode Island,ri,Providence)
(South Carolina,sc,Columbia)
(South Dakota,sd,Pierre)
(Tennessee,tn,Nashville)
(Texas,tx,Austin)
(Utah,ut,Salt Lake City)
(Vermont,vt,Montpelier)
(Virginia,va,Richmond)
(Washington,wa,Olympia)
(West Virginia,wv,Charleston)
(Wisconsin,wi,Madison)
(Wyoming,wy,Cheyenne)